iter	Passed	Remaining
618	1156	711
619	1159	710
620	1160	708
621	1161	706
622	1163	703
623	1164	701
624	1165	699
625	1166	697
626	1167	694
627	1168	692
628	1170	690
629	1171	687
630	1172	685
631	1174	684
632	1176	681
633	1177	679
634	1178	677
635	1179	675
636	1180	672
637	1181	670
638	1182	668
639	1184	666
640	1185	663
641	1186	661
642	1189	660
643	1190	658
644	1192	656
645	1193	654
646	1195	652
647	1197	650
648	1198	648
649	1199	646
650	1201	644
651	1204	642
652	1207	641
653	1212	641
654	1214	639
655	1216	637
656	1217	635
657	1220	634
658	1222	632
659	1223	630
660	1225	628
661	1226	626
662	1227	623
663	1228	621
664	1229	619
665	1230	617
666	1232	615
667	1235	614
668	1237	612
669	1238	610
670	1240	608
671	1241	606
672	1243	603
673	1244	601
674	1245	599
675	1246	597
676	1250	596
677	1252	594
678	1253	592
679	1254	590
680	1256	588
681	1257	586
682	1258	584
683	1259	581
684	1260	579
685	1263	578
686	1266	576
687	1267	574
688	1268	572
689	1270	570
690	1271	568
691	1272	566
692	1274	564
693	1275	562
694	1277	560
695	1280	559
696	1281	557
697	1283	555
698	1284	553
699	1285	550
700	1286	548
701	1287	546
702	1289	544
703	1290	542
704	1294	541
705	1296	539
706	1297	537
707	1298	535
708	1300	533
709	1301	531
710	1302	529
711	1304	527
712	1307	526
713	1309	524
714	1310	522
715	1311	520
716	1312	518
717	1314	516
718	1315	513
719	1316	511
720	1317	509
721	1319	508
722	1322	506
723	1324	504
724	1325	502
725	1327	501
726	1328	498
727	1330	496
728	1333	495
729	1336	494
730	1338	492
731	1339	490
732	1340	488
733	1342	486
734	1343	484
735	1344	482
736	1346	480
737	1347	478
738	1350	477
739	1352	475
740	1353	473
741	1354	471
742	1355	469
743	1357	467
744	1358	465
745	1360	463
746	1362	461
747	1365	460
748	1367	458
749	1369	456
750	1370	454
751	1372	452
752	1373	450
753	1375	448
754	1377	447
755	1381	445
756	1382	443
757	1384	441
758	1385	439
759	1387	438
760	1388	436
761	1390	434
762	1391	432
763	1393	430
764	1396	428
765	1397	426
766	1398	424
767	1400	422
768	1401	420
769	1402	418
770	1403	416
771	1404	414
772	1405	412
773	1407	410
774	1408	408
775	1410	407
776	1412	405
777	1413	403
778	1414	401
779	1415	399
780	1416	397
781	1418	395
782	1420	393
783	1421	391
784	1422	389
785	1425	388
786	1426	386
787	1428	384
788	1429	382
789	1430	380
790	1432	378
791	1433	376
792	1435	374
793	1436	372
794	1437	370
795	1440	369
796	1441	367
797	1442	365
798	1443	363
799	1445	361
800	1446	359
801	1447	357
802	1448	355
803	1449	353
804	1450	351
805	1451	349
806	1455	348
807	1457	346
808	1459	344
809	1460	342
810	1461	340
811	1462	338
812	1463	336
813	1465	334
814	1466	332
815	1467	330
816	1470	329
817	1471	327
818	1472	325
819	1474	323
820	1476	321
821	1478	320
822	1480	318
823	1481	316
824	1483	314
825	1486	313
826	1487	311
827	1488	309
828	1490	307
829	1491	305
830	1493	303
831	1494	301
832	1496	299
833	1497	297
834	1500	296
835	1501	294
836	1502	292
837	1504	290
838	1505	288
839	1507	287
840	1508	285
841	1509	283
842	1511	281
843	1513	279
844	1514	277
845	1516	275
846	1517	274
847	1519	272
848	1520	270
849	1521	268
850	1523	266
851	1524	264
852	1525	262
853	1526	261
854	1529	259
855	1531	257
856	1532	255
857	1534	253
858	1535	252
859	1537	250
860	1538	248
861	1539	246
862	1540	244
863	1543	243
864	1545	241
865	1547	239
866	1548	237
867	1549	235
868	1550	233
869	1552	231
870	1553	230
871	1554	228
872	1555	226
873	1558	224
874	1560	222
875	1562	221
876	1564	219
877	1566	217
878	1567	215
879	1568	213
880	1569	212
881	1570	210
882	1573	208
883	1574	206
884	1575	204
885	1576	202
886	1577	201
887	1579	199
888	1580	197
889	1581	195
890	1582	193
891	1583	191
892	1584	189
893	1587	188
894	1589	186
895	1590	184
896	1591	182
897	1592	180
898	1593	179
899	1595	177
900	1596	175
901	1597	173
902	1598	171
903	1600	169
904	1603	168
905	1605	166
906	1606	164
907	1607	162
908	1608	161
909	1609	159
910	1611	157
911	1612	155
912	1613	153
913	1614	151
914	1617	150
915	1619	148
916	1621	146
917	1622	144
918	1623	143
919	1624	141
920	1625	139
921	1626	137
922	1628	135
923	1629	133
924	1630	132
925	1633	130
926	1634	128
927	1635	126
928	1637	125
929	1638	123
930	1639	121
931	1640	119
932	1642	117
933	1643	116
934	1644	114
935	1647	112
936	1648	110
937	1650	109
938	1651	107
939	1652	105
940	1654	103
941	1655	101
942	1656	100
943	1658	98
944	1659	96
945	1660	94
946	1662	93
947	1663	91
948	1664	89
949	1665	87
950	1666	85
951	1667	84
952	1669	82
953	1671	80
954	1672	78
955	1674	77
956	1675	75
957	1676	73
958	1677	71
959	1679	69
960	1680	68
961	1681	66
962	1683	64
963	1684	62
964	1686	61
965	1687	59
966	1688	57
967	1689	55
968	1691	54
969	1692	52
970	1693	50
971	1694	48
972	1695	47
973	1696	45
974	1698	43
975	1701	41
976	1702	40
977	1703	38
978	1704	36
979	1705	34
980	1707	33
981	1708	31
982	1709	29
983	1710	27
984	1711	26
985	1712	24
986	1715	22
987	1716	20
988	1718	19
989	1719	17
990	1720	15
991	1721	13
992	1722	12
993	1723	10
994	1724	8
995	1726	6
996	1727	5
997	1728	3
998	1729	1
999	1730	0
